method,task,metric,mean,sd,n
base,iid,acc,78.4300000000,0.0000000000,1
base,iid,nll,0.4729000000,0.0000000000,1
base,iid,ece,3.9300000000,0.0000000000,1
base,iid,brier,0.2951000000,0.0000000000,1
base,grade12,acc,72.9000000000,0.0000000000,1
base,grade12,nll,0.6181000000,0.0000000000,1
base,grade12,ece,10.6400000000,0.0000000000,1
base,grade12,brier,0.3829000000,0.0000000000,1
base,obqa,acc,78.4000000000,0.0000000000,1
base,obqa,nll,0.6088000000,0.0000000000,1
base,obqa,ece,8.3100000000,0.0000000000,1
base,obqa,brier,0.3110000000,0.0000000000,1
base,arc-c,acc,88.6500000000,0.0000000000,1
base,arc-c,nll,0.3498000000,0.0000000000,1
base,arc-c,ece,6.1700000000,0.0000000000,1
base,arc-c,brier,0.1732000000,0.0000000000,1
base,mmlu_science_high,acc,79.0700000000,0.0000000000,1
base,mmlu_science_high,nll,0.5869000000,0.0000000000,1
base,mmlu_science_high,ece,3.2200000000,0.0000000000,1
base,mmlu_science_high,brier,0.3000000000,0.0000000000,1
base,mmlu_science_college,acc,68.5000000000,0.0000000000,1
base,mmlu_science_college,nll,0.7695000000,0.0000000000,1
base,mmlu_science_college,ece,6.8900000000,0.0000000000,1
base,mmlu_science_college,brier,0.3996000000,0.0000000000,1
base,gpqa_main,acc,30.8000000000,0.0000000000,1
base,gpqa_main,nll,1.6322000000,0.0000000000,1
base,gpqa_main,ece,25.1300000000,0.0000000000,1
base,gpqa_main,brier,0.8439000000,0.0000000000,1
map,iid,acc,94.1080000000,0.3113197713,5
map,iid,nll,0.1855800000,0.0104274637,5
map,iid,ece,3.7680000000,0.3198749756,5
map,iid,brier,0.0888600000,0.0044802902,5
map,grade12,acc,93.1620000000,0.8366122160,5
map,grade12,nll,0.3344800000,0.0126412816,5
map,grade12,ece,5.5280000000,0.6219083534,5
map,grade12,brier,0.1178800000,0.0099013635,5
map,obqa,acc,88.3600000000,0.0894427191,5
map,obqa,nll,0.5605000000,0.0152215308,5
map,obqa,ece,8.9080000000,0.2440696622,5
map,obqa,brier,0.2001600000,0.0009099451,5
map,arc-c,acc,91.5000000000,0.4962358310,5
map,arc-c,nll,0.4281800000,0.0126855035,5
map,arc-c,ece,6.9320000000,0.5044006344,5
map,arc-c,brier,0.1503200000,0.0064704714,5
map,mmlu_science_high,acc,81.3280000000,0.1096357606,5
map,mmlu_science_high,nll,0.8379200000,0.0220060673,5
map,mmlu_science_high,ece,13.3620000000,0.3352163481,5
map,mmlu_science_high,brier,0.3053400000,0.0036685147,5
map,mmlu_science_college,acc,73.5260000000,0.6013567992,5
map,mmlu_science_college,nll,1.0945800000,0.0331787131,5
map,mmlu_science_college,ece,15.9680000000,0.8511580347,5
map,mmlu_science_college,brier,0.4187800000,0.0060288473,5
map,gpqa_main,acc,36.6520000000,0.3694184619,5
map,gpqa_main,nll,2.0081000000,0.0338145679,5
map,gpqa_main,ece,34.1340000000,0.7929249649,5
map,gpqa_main,brier,0.8976000000,0.0122435697,5
mcdrop,iid,acc,94.1260000000,0.3252383741,5
mcdrop,iid,nll,0.1840400000,0.0093224460,5
mcdrop,iid,ece,3.7800000000,0.3506422678,5
mcdrop,iid,brier,0.0888000000,0.0043548823,5
mcdrop,grade12,acc,93.2900000000,1.0794443015,5
mcdrop,grade12,nll,0.3359000000,0.0123490890,5
